Employee_ID,Age,Department,Job_Role,Years_At_Company,Salary,Job_Satisfaction,Workload_Level,Attrition
EMP-1001,23,Sales,Developer,13,95775,2,2,Yes
EMP-1002,30,HR,Executive,5,58677,5,1,No
EMP-1003,56,HR,Executive,5,74839,2,5,No
EMP-1004,24,IT,Developer,9,30822,2,2,No
EMP-1005,34,Finance,Analyst,13,33030,3,4,No
EMP-1006,51,HR,Specialist,1,113652,4,5,No
EMP-1007,25,IT,Manager,11,107998,5,4,No
EMP-1008,24,Sales,Analyst,13,139358,3,4,No
EMP-1009,26,Operations,Manager,0,102902,4,4,No
EMP-1010,54,Marketing,Manager,5,38962,4,2,Yes
EMP-1011,46,HR,Analyst,6,79811,2,5,No
EMP-1012,55,Marketing,Manager,2,58278,5,5,No
EMP-1013,49,IT,Analyst,7,33819,3,3,No
EMP-1014,26,Finance,Manager,11,67416,4,3,No
EMP-1015,58,Operations,Manager,3,102981,5,1,No
EMP-1016,53,Finance,Analyst,2,43915,5,3,No
EMP-1017,32,Marketing,Executive,8,63451,2,1,Yes
EMP-1018,42,HR,Manager,5,108756,2,1,No
EMP-1019,21,IT,Executive,1,84989,3,2,No
EMP-1020,25,IT,Analyst,5,132949,2,5,No
EMP-1021,25,HR,Developer,8,65346,4,3,No
EMP-1022,25,IT,Specialist,10,139973,4,3,No
EMP-1023,51,Sales,Developer,13,131147,1,5,No
EMP-1024,57,Operations,Manager,5,63248,2,2,No
EMP-1025,33,IT,Developer,2,89718,5,5,No
EMP-1026,23,Sales,Executive,8,32340,1,4,No
EMP-1027,38,Operations,Manager,1,117499,5,5,No
EMP-1028,26,Marketing,Manager,12,63858,5,2,No
EMP-1029,53,IT,Analyst,0,80513,2,3,No
EMP-1030,28,IT,Executive,10,57332,2,4,No
EMP-1031,48,HR,Executive,8,139723,4,1,No
EMP-1032,58,Marketing,Developer,4,86461,1,5,Yes
EMP-1033,48,Marketing,Analyst,6,138922,4,3,No
EMP-1034,24,Operations,Developer,6,90945,1,1,No
EMP-1035,24,Finance,Manager,10,121416,5,3,No
EMP-1036,50,Sales,Analyst,8,122354,3,5,No
EMP-1037,48,Finance,Analyst,3,45443,5,4,No
EMP-1038,28,IT,Executive,13,65970,4,4,Yes
EMP-1039,40,IT,Analyst,13,107668,4,1,No
EMP-1040,58,IT,Executive,2,107316,3,4,No
EMP-1041,48,Sales,Specialist,0,36155,4,4,Yes
EMP-1042,49,IT,Manager,14,134273,2,4,No
EMP-1043,55,Finance,Executive,6,38348,2,4,No
EMP-1044,44,Operations,Analyst,9,128589,4,5,No
EMP-1045,21,IT,Analyst,2,113365,2,1,No
EMP-1046,50,Marketing,Analyst,12,83584,4,5,Yes
EMP-1047,22,IT,Executive,6,111535,1,2,No
EMP-1048,29,HR,Manager,1,50189,1,3,No
EMP-1049,27,Sales,Analyst,5,63008,5,2,No
EMP-1050,47,Finance,Manager,3,125242,5,2,No
EMP-1051,33,Operations,Analyst,2,106119,1,3,No
EMP-1052,49,Operations,Specialist,0,35436,5,5,Yes
EMP-1053,32,Marketing,Manager,0,127491,1,3,No
EMP-1054,42,Marketing,Manager,11,75739,2,4,No
EMP-1055,55,Operations,Executive,14,72915,1,3,Yes
EMP-1056,39,Marketing,Developer,1,127269,1,4,No
EMP-1057,53,Finance,Manager,6,34867,2,2,No
EMP-1058,33,Marketing,Executive,10,62213,4,2,No
EMP-1059,52,Sales,Specialist,13,51741,4,3,No
EMP-1060,54,Finance,Analyst,1,54603,3,1,Yes
EMP-1061,32,Sales,Analyst,11,47854,5,2,No
EMP-1062,23,Marketing,Executive,12,94318,2,4,Yes
EMP-1063,32,IT,Manager,8,50075,5,5,No
EMP-1064,25,IT,Developer,5,90188,4,3,No
EMP-1065,39,IT,Developer,13,71664,5,2,No
EMP-1066,32,Finance,Developer,13,64935,3,5,No
EMP-1067,40,HR,Executive,6,50056,3,5,Yes
EMP-1068,30,Marketing,Specialist,14,87095,1,1,Yes
EMP-1069,24,Sales,Specialist,2,112127,4,5,No
EMP-1070,49,Marketing,Developer,1,35685,1,4,No
EMP-1071,23,Finance,Specialist,12,127890,4,5,No
EMP-1072,48,IT,Developer,2,135180,1,3,No
EMP-1073,47,Sales,Developer,11,70564,5,3,No
EMP-1074,42,Sales,Analyst,5,81914,5,3,No
EMP-1075,54,Finance,Analyst,8,112768,3,2,No
EMP-1076,46,Marketing,Manager,4,116507,4,4,No
EMP-1077,51,Finance,Manager,1,39715,2,5,No
EMP-1078,47,IT,Executive,4,38125,2,3,No
EMP-1079,56,Finance,Developer,12,70559,3,5,No
EMP-1080,38,HR,Manager,12,124780,1,4,No
EMP-1081,33,IT,Specialist,0,115670,1,2,No
EMP-1082,57,Marketing,Analyst,5,84577,5,2,No
EMP-1083,22,Operations,Manager,12,123806,2,5,No
EMP-1084,25,IT,Manager,13,96169,5,5,Yes
EMP-1085,58,Finance,Developer,13,132355,5,4,No
EMP-1086,29,IT,Analyst,11,119778,4,3,No
EMP-1087,51,IT,Manager,14,83704,5,4,Yes
EMP-1088,57,Operations,Developer,9,132951,1,3,No
EMP-1089,47,Sales,Executive,6,125677,1,2,No
EMP-1090,53,Marketing,Manager,5,44333,1,2,No
EMP-1091,34,HR,Executive,2,72618,3,5,No
EMP-1092,56,Sales,Specialist,6,44911,5,5,No
EMP-1093,30,Finance,Manager,9,88282,4,4,No
EMP-1094,21,IT,Developer,0,135306,5,3,No
EMP-1095,33,Finance,Manager,0,118385,3,2,No
EMP-1096,34,Marketing,Executive,12,55980,1,3,No
EMP-1097,38,IT,Executive,2,96948,2,5,No
EMP-1098,40,IT,Executive,1,100098,4,5,No
EMP-1099,59,HR,Specialist,0,54690,2,2,Yes
EMP-1100,45,IT,Manager,9,103970,1,4,No
EMP-1101,33,Sales,Analyst,5,81369,1,4,No
EMP-1102,59,Finance,Developer,5,29769,4,3,No
EMP-1103,35,Operations,Specialist,8,45753,4,2,No
EMP-1104,25,IT,Specialist,2,131732,2,1,Yes
EMP-1105,49,HR,Executive,2,67513,1,4,No
EMP-1106,27,Marketing,Developer,3,78522,1,3,No
EMP-1107,51,IT,Manager,9,124663,1,5,No
EMP-1108,24,Finance,Specialist,5,73567,5,5,No
EMP-1109,53,Operations,Analyst,10,86506,3,4,Yes
EMP-1110,26,Operations,Developer,6,96790,5,2,No
EMP-1111,32,HR,Analyst,13,131174,5,3,No
EMP-1112,31,HR,Specialist,2,83357,2,1,No
EMP-1113,56,Marketing,Manager,13,67312,5,5,No
EMP-1114,57,Operations,Manager,13,91975,1,3,No
EMP-1115,23,Sales,Specialist,4,102970,2,5,No
EMP-1116,55,IT,Manager,8,98577,4,3,No
EMP-1117,44,IT,Specialist,3,55935,5,2,No
EMP-1118,50,IT,Executive,14,92385,2,5,No
EMP-1119,34,Finance,Analyst,10,131308,4,1,No
EMP-1120,59,HR,Developer,2,75058,2,5,No
EMP-1121,56,Finance,Developer,13,51373,2,3,Yes
EMP-1122,29,Marketing,Executive,4,122157,4,2,No
EMP-1123,28,Marketing,Developer,7,91058,5,2,No
EMP-1124,43,Finance,Manager,5,80334,2,4,No
EMP-1125,40,Finance,Developer,7,62640,3,2,No
EMP-1126,52,Finance,Specialist,10,111512,1,2,No
EMP-1127,31,IT,Executive,2,37674,3,4,No
EMP-1128,30,HR,Manager,11,103197,1,2,No
EMP-1129,36,Marketing,Analyst,5,34779,5,2,No
EMP-1130,27,Marketing,Executive,12,119801,3,1,No
EMP-1131,54,HR,Manager,10,103404,3,1,No
EMP-1132,48,IT,Executive,0,80461,3,5,No
EMP-1133,42,IT,Specialist,9,117725,5,1,No
EMP-1134,26,IT,Manager,0,124383,5,2,No
EMP-1135,36,Finance,Executive,0,75348,3,3,No
EMP-1136,34,IT,Developer,10,73958,3,1,No
EMP-1137,33,Marketing,Developer,2,45885,2,3,Yes
EMP-1138,32,Finance,Executive,2,90164,1,2,No
EMP-1139,52,Operations,Specialist,2,34395,3,2,No
EMP-1140,24,IT,Developer,4,122573,3,1,No
EMP-1141,39,IT,Specialist,11,47815,2,4,No
EMP-1142,22,Finance,Specialist,14,53233,1,4,Yes
EMP-1143,43,Marketing,Manager,13,73445,4,5,No
EMP-1144,47,Operations,Specialist,8,86810,3,4,Yes
EMP-1145,43,Marketing,Analyst,4,31003,1,3,No
EMP-1146,47,IT,Analyst,0,122205,5,5,No
EMP-1147,29,Operations,Developer,13,45268,1,2,No
EMP-1148,46,Finance,Analyst,8,85573,1,2,Yes
EMP-1149,51,HR,Developer,1,38364,4,2,No
EMP-1150,47,Finance,Specialist,3,104927,4,3,No
EMP-1151,42,Operations,Specialist,12,107473,1,3,No
EMP-1152,54,Marketing,Executive,1,92922,3,4,No
EMP-1153,50,HR,Manager,11,65736,5,1,No
EMP-1154,44,Finance,Executive,9,41330,2,2,No
EMP-1155,52,Sales,Executive,2,129195,1,1,No
EMP-1156,48,HR,Manager,6,32474,3,1,No
EMP-1157,50,Marketing,Developer,8,56535,3,1,No
EMP-1158,47,Marketing,Specialist,9,34054,5,5,No
EMP-1159,23,Operations,Analyst,6,55456,2,5,No
EMP-1160,29,IT,Specialist,12,78536,3,3,No
EMP-1161,34,IT,Developer,9,134764,4,3,No
EMP-1162,22,Finance,Manager,2,116137,2,3,No
EMP-1163,50,IT,Analyst,3,69506,3,5,Yes
EMP-1164,50,IT,Manager,10,70164,4,2,No
EMP-1165,37,Marketing,Specialist,4,88049,4,2,No
EMP-1166,37,Marketing,Manager,2,111752,1,3,No
EMP-1167,29,HR,Specialist,4,86635,1,3,Yes
EMP-1168,37,IT,Analyst,9,90376,2,5,No
EMP-1169,55,IT,Specialist,6,29886,1,3,Yes
EMP-1170,29,IT,Manager,1,58751,1,3,Yes
EMP-1171,25,Finance,Manager,2,49809,1,2,No
EMP-1172,42,HR,Specialist,4,52844,3,1,No
EMP-1173,48,Marketing,Developer,1,49687,1,5,No
EMP-1174,44,HR,Specialist,8,138510,4,1,No
EMP-1175,54,HR,Executive,9,91007,3,1,No
EMP-1176,26,Operations,Developer,6,139671,3,2,No
EMP-1177,44,Finance,Specialist,0,73647,5,2,No
EMP-1178,26,Sales,Manager,7,87739,1,4,Yes
EMP-1179,53,Sales,Developer,3,56586,5,5,No
EMP-1180,59,Sales,Developer,8,28838,5,1,No
EMP-1181,27,Finance,Executive,8,56599,4,3,No
EMP-1182,48,Marketing,Manager,7,94560,3,2,No
EMP-1183,57,IT,Specialist,10,116156,3,4,Yes
EMP-1184,30,Marketing,Executive,9,29252,1,5,No
EMP-1185,59,HR,Manager,2,102361,2,4,No
EMP-1186,52,Marketing,Analyst,0,135261,4,5,No
