Campaign_ID,Channel,Campaign,Spend,Impressions,Clicks,Conversions,Revenue
MKT-1,Email,Campaign A,6850.13,40330,3447,473,32662.57
MKT-2,Social Media,Campaign B,6439.28,149916,3069,463,30307.48
MKT-3,Email,Campaign B,5803.9,30785,481,67,12846.07
MKT-4,Social Media,Campaign E,10069.38,119182,11958,1136,21006.57
MKT-5,Email,Campaign F,9715.98,29271,3168,145,41936.84
MKT-6,Social Media,Campaign A,2265.54,18933,1301,41,2290.98
MKT-7,Display Ads,Campaign C,5517.64,128353,1775,243,22580.99
MKT-8,Email,Campaign E,2188.93,29360,3073,516,6469.97
MKT-9,Social Media,Campaign B,1566.69,66391,6052,401,5968.02
MKT-10,Display Ads,Campaign B,9128.06,78105,4773,411,15305.54
MKT-11,Google Ads,Campaign A,9142.14,144466,2811,145,13725.88
MKT-12,Google Ads,Campaign C,5082.83,124350,14790,661,17353.59
MKT-13,YouTube,Campaign D,5018.56,31627,3710,657,7875.14
MKT-14,Display Ads,Campaign D,8044.85,37015,1547,235,24662.96
MKT-15,Display Ads,Campaign C,10028.29,58800,759,21,32153.04
MKT-16,Social Media,Campaign D,3492.12,75497,4231,661,14340.2
MKT-17,Social Media,Campaign D,4931.75,114416,7712,591,15073.3
MKT-18,Display Ads,Campaign D,1259.91,103114,1043,60,5515.94
MKT-19,YouTube,Campaign C,2477.54,126776,7821,826,11253.4
MKT-20,Google Ads,Campaign B,2974.55,13625,1014,55,10464.79
MKT-21,Social Media,Campaign D,1640.31,65138,3680,190,2195.99
MKT-22,Social Media,Campaign B,4184.57,129740,6445,193,9329.41
MKT-23,Social Media,Campaign E,7520.58,65710,7078,1325,9019.61
MKT-24,YouTube,Campaign E,1826.25,20573,1607,67,7687.65
MKT-25,Email,Campaign A,9927.8,105338,12602,352,23876.95
MKT-26,YouTube,Campaign F,11409.42,51970,3817,630,16901.51
MKT-27,Email,Campaign E,6234.35,81971,9573,847,14900.72
MKT-28,Display Ads,Campaign F,1972.61,89789,4069,222,2393.04
MKT-29,Social Media,Campaign C,7277.31,88723,4875,476,24252.34
MKT-30,YouTube,Campaign D,11226.97,139381,7396,586,29237.12
MKT-31,Display Ads,Campaign A,5810.91,47226,3352,260,12684.77
MKT-32,YouTube,Campaign B,1588.36,59895,1693,254,3742.79
MKT-33,Display Ads,Campaign B,6970.73,114935,4403,743,31438.13
MKT-34,Google Ads,Campaign F,8192.9,91622,1446,275,19416.67
MKT-35,Google Ads,Campaign A,7158.24,146939,2092,298,21837.44
MKT-36,Email,Campaign A,9049.79,8847,917,100,24099.86
MKT-37,Social Media,Campaign A,9546.47,140760,15014,1308,29215.17
MKT-38,Social Media,Campaign F,2346.77,44199,4209,460,6913.47
MKT-39,YouTube,Campaign D,11581.17,119821,3670,465,49944.83
MKT-40,Display Ads,Campaign F,1662.72,59297,5882,627,5083.88
MKT-41,Email,Campaign F,7482.93,136961,6943,660,9530.23
MKT-42,Google Ads,Campaign A,10133.74,120238,4963,370,43548.1
MKT-43,Email,Campaign A,6485.26,78438,6738,332,22525.4
MKT-44,YouTube,Campaign B,7615.22,59626,859,88,22000.4
MKT-45,Google Ads,Campaign B,2105.67,88263,4223,158,9663.51
MKT-46,YouTube,Campaign F,9803.15,63724,7467,257,33396.17
MKT-47,Email,Campaign C,7793.7,57173,3282,86,22901.03
MKT-48,Email,Campaign F,11525.14,149063,2153,316,23131.64
MKT-49,YouTube,Campaign A,1018.82,50089,5115,210,1058.86
MKT-50,Display Ads,Campaign C,2291.21,126032,8675,1603,7033.54
MKT-51,Google Ads,Campaign D,5617.68,148430,17301,1313,8749.28
MKT-52,Email,Campaign E,11590.29,46476,946,166,42088.7
MKT-53,YouTube,Campaign B,11722.82,94771,10782,461,46693.8
MKT-54,Display Ads,Campaign C,6750.2,84122,9159,1785,24431.36
MKT-55,Social Media,Campaign E,5748.64,130069,6474,585,6662.75
MKT-56,Google Ads,Campaign A,9468.5,16228,958,179,30762.06
MKT-57,Social Media,Campaign D,2311.52,129751,15223,903,6617.93
MKT-58,YouTube,Campaign A,11737.72,140745,5066,146,16601.92
MKT-59,Email,Campaign E,2743.93,26546,2929,341,9065.83
MKT-60,Google Ads,Campaign C,9706.71,34270,2671,468,44605.95
MKT-61,Social Media,Campaign B,1541.66,73431,4270,812,3566.23
MKT-62,Google Ads,Campaign E,6715.48,116762,3515,273,22918.37
MKT-63,Social Media,Campaign E,5499.74,122158,10922,550,25005.55
MKT-64,YouTube,Campaign C,1734.09,32246,2087,236,4912.28
MKT-65,Email,Campaign E,11940.37,19353,1210,116,12743.99
MKT-66,Google Ads,Campaign C,3121.63,90978,7290,212,14751.41
MKT-67,Email,Campaign E,10812.69,46012,765,128,36684.59
MKT-68,Social Media,Campaign C,5423.95,118354,9488,1652,18030.63
MKT-69,Display Ads,Campaign D,8119.09,117815,13627,1182,20300.38
