Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD-10001,2025-01-01 00:00:00.000000000,North,Technology,Printer,5,774.86,0.05,3680.58,836.85
ORD-10002,2025-01-02 11:05:03.614457831,West,Technology,Keyboard,7,688.61,0.1,4338.23,393.68
ORD-10003,2025-01-03 22:10:07.228915662,South,Office Supplies,Pens,4,835.19,0.05,3173.71,680.85
ORD-10004,2025-01-05 09:15:10.843373494,East,Office Supplies,Folders,4,216.11,0.0,864.43,65.11
ORD-10005,2025-01-06 20:20:14.457831325,North,Office Supplies,Binders,2,685.91,0.1,1234.63,179.13
ORD-10006,2025-01-08 07:25:18.072289156,North,Office Supplies,Pens,7,703.87,0.15,4188.02,720.39
ORD-10007,2025-01-09 18:30:21.686746988,South,Furniture,Chair,4,619.5,0.0,2477.99,591.6
ORD-10008,2025-01-11 05:35:25.301204819,South,Office Supplies,Pens,3,342.86,0.0,1028.57,108.49
ORD-10009,2025-01-12 16:40:28.915662650,West,Furniture,Chair,5,215.81,0.05,1025.12,226.3
ORD-10010,2025-01-14 03:45:32.530120482,South,Furniture,Chair,6,634.73,0.0,3808.41,989.21
ORD-10011,2025-01-15 14:50:36.144578313,East,Furniture,Cabinet,6,270.17,0.05,1539.97,344.64
ORD-10012,2025-01-17 01:55:39.759036144,West,Technology,Printer,2,21.52,0.15,36.58,8.03
ORD-10013,2025-01-18 13:00:43.373493976,North,Furniture,Bookcase,2,421.14,0.15,715.94,140.68
ORD-10014,2025-01-20 00:05:46.987951807,South,Technology,Laptop,1,606.54,0.1,545.88,106.81
ORD-10015,2025-01-21 11:10:50.602409638,West,Technology,Printer,5,504.92,0.1,2272.13,441.27
ORD-10016,2025-01-22 22:15:54.216867470,North,Technology,Keyboard,1,401.49,0.15,341.27,53.94
ORD-10017,2025-01-24 09:20:57.831325301,West,Office Supplies,Binders,1,66.6,0.0,66.6,8.49
ORD-10018,2025-01-25 20:26:01.445783132,West,Technology,Monitor,5,507.97,0.1,2285.88,501.6
ORD-10019,2025-01-27 07:31:05.060240964,North,Furniture,Desk,3,162.77,0.15,415.07,27.17
ORD-10020,2025-01-28 18:36:08.674698795,North,Technology,Printer,6,423.76,0.1,2288.31,412.47
ORD-10021,2025-01-30 05:41:12.289156626,North,Office Supplies,Paper,4,409.85,0.1,1475.45,223.45
ORD-10022,2025-01-31 16:46:15.903614458,North,Technology,Keyboard,5,335.2,0.15,1424.62,125.82
ORD-10023,2025-02-02 03:51:19.518072289,West,Furniture,Cabinet,3,634.24,0.15,1617.31,200.24
ORD-10024,2025-02-03 14:56:23.132530120,South,Office Supplies,Pens,6,649.45,0.15,3312.18,415.14
ORD-10025,2025-02-05 02:01:26.746987952,East,Technology,Laptop,4,418.36,0.15,1422.43,154.43
ORD-10026,2025-02-06 13:06:30.361445783,West,Technology,Printer,5,171.44,0.05,814.36,197.11
ORD-10027,2025-02-08 00:11:33.975903614,North,Furniture,Bookcase,5,570.17,0.05,2708.3,542.16
ORD-10028,2025-02-09 11:16:37.590361446,North,Furniture,Bookcase,1,382.99,0.15,325.54,58.13
ORD-10029,2025-02-10 22:21:41.204819277,West,Technology,Monitor,5,106.51,0.0,532.56,107.06
ORD-10030,2025-02-12 09:26:44.819277108,South,Technology,Monitor,7,529.24,0.05,3519.44,710.29
ORD-10031,2025-02-13 20:31:48.433734940,North,Technology,Laptop,2,441.84,0.15,751.13,186.17
ORD-10032,2025-02-15 07:36:52.048192771,West,Technology,Monitor,4,449.28,0.05,1707.25,336.69
ORD-10033,2025-02-16 18:41:55.662650602,West,Furniture,Desk,6,308.44,0.05,1758.1,325.18
ORD-10034,2025-02-18 05:46:59.277108434,West,Furniture,Desk,1,746.27,0.0,746.27,69.9
ORD-10035,2025-02-19 16:52:02.891566265,North,Technology,Keyboard,3,609.93,0.0,1829.8,233.29
ORD-10036,2025-02-21 03:57:06.506024096,North,Furniture,Bookcase,6,695.25,0.05,3962.94,1109.0
ORD-10037,2025-02-22 15:02:10.120481928,South,Office Supplies,Paper,2,506.04,0.0,1012.09,150.82
ORD-10038,2025-02-24 02:07:13.734939759,West,Office Supplies,Pens,6,295.67,0.0,1774.01,230.3
ORD-10039,2025-02-25 13:12:17.349397590,East,Furniture,Bookcase,7,843.4,0.05,5608.6,558.09
ORD-10040,2025-02-27 00:17:20.963855422,West,Technology,Monitor,4,893.25,0.0,3573.01,856.33
ORD-10041,2025-02-28 11:22:24.578313253,North,Office Supplies,Binders,2,474.19,0.15,806.12,109.49
ORD-10042,2025-03-01 22:27:28.192771084,North,Office Supplies,Pens,5,345.69,0.15,1469.17,351.47
ORD-10043,2025-03-03 09:32:31.807228916,North,Furniture,Desk,1,228.26,0.15,194.02,17.36
ORD-10044,2025-03-04 20:37:35.421686747,East,Office Supplies,Binders,2,173.65,0.05,329.94,89.05
ORD-10045,2025-03-06 07:42:39.036144578,South,Technology,Laptop,2,703.0,0.05,1335.71,391.68
ORD-10046,2025-03-07 18:47:42.650602410,North,Furniture,Desk,2,27.33,0.0,54.67,5.01
ORD-10047,2025-03-09 05:52:46.265060241,West,Technology,Keyboard,7,463.1,0.0,3241.71,734.65
